# operationName, state, timestamp, temperature, humidity, operationNumber
Cutting,OP,2024-12-05T10:30:00,22.50,40.00,1
Milling,OP,2024-12-11T11:00:00,24.00,52.00,8
Turning,ON,2024-12-11T11:30:00,22.80,47.00,9
Drawing,OP,2024-12-12T14:00:00,23.60,48.00,32
Rolling,ON,2024-12-12T11:30:00,24.80,52.00,27
Drilling,ON,2024-12-05T11:00:00,23.00,45.00,2
Boring,OP,2024-12-11T12:00:00,23.20,49.00,10
Threading,ON,2024-12-11T12:30:00,22.50,46.00,11
Pressing,OP,2024-12-12T11:00:00,25.20,53.00,26
Stamping,ON,2024-12-12T10:30:00,23.90,50.00,25
Painting,OP,2024-12-09T11:00:00,25.00,55.00,3
Coating,OP,2024-12-11T14:00:00,25.50,54.00,14
Etching,OP,2024-12-12T09:00:00,24.60,52.00,22
Marking,ON,2024-12-11T17:30:00,22.90,45.00,21
Cleaning,OP,2024-12-11T17:00:00,23.40,48.00,20
Assembling,ON,2024-12-11T09:30:00,21.00,35.00,5
Testing,ON,2024-12-11T14:30:00,22.00,45.00,15
Inspecting,ON,2024-12-11T16:30:00,22.70,46.00,19
Measuring,OP,2024-12-11T16:00:00,23.10,47.00,18
Sorting,ON,2024-12-11T15:30:00,22.30,42.00,17
Packaging,OP,2024-12-11T15:00:00,21.50,40.00,16
Welding,OP,2024-12-11T10:00:00,26.00,45.00,6
Forging,OP,2024-12-12T12:00:00,26.50,55.00,28
Casting,ON,2024-12-12T12:30:00,25.80,54.00,29
Molding,OP,2024-12-12T13:00:00,24.40,51.00,30
Extruding,ON,2024-12-12T13:30:00,25.10,53.00,31
Finishing,OP,2024-12-12T10:00:00,24.10,51.00,24
Polishing,ON,2024-12-10T14:00:00,24.50,50.00,4
Grinding,ON,2024-12-11T10:30:00,23.50,48.00,7
Shaping,OP,2024-12-11T13:00:00,23.80,51.00,12
Planning,ON,2024-12-11T13:30:00,24.20,53.00,13
Deburring,ON,2024-12-12T09:30:00,23.70,49.00,23
Scanning,ON,2024-12-12T14:30:00,22.40,44.00,33
Labeling,OP,2024-12-12T15:00:00,21.80,42.00,34
Riveting,ON,2024-12-12T15:30:00,24.30,48.00,35
Brushing,OP,2024-12-12T16:00:00,23.90,50.00,36
Calibrating,ON,2024-12-12T16:30:00,22.60,45.00,37
Soldering,OP,2024-12-12T17:00:00,25.70,52.00,38
Buffing,ON,2024-12-13T09:00:00,23.80,49.00,39
Engraving,OP,2024-12-13T09:30:00,24.20,51.00,40
Aligning,ON,2024-12-13T10:00:00,22.20,43.00,41
Tapping,OP,2024-12-13T10:30:00,23.50,47.00,42
Sawing,ON,2024-12-13T11:00:00,23.70,46.00,43
Knurling,OP,2024-12-13T11:30:00,24.10,50.00,44
Brazing,ON,2024-12-13T12:00:00,25.90,53.00,45
